"player","age","current_club","current_league","foot","height","nationality","position","year","games","goals","assists","minutes"
"Dmitri Poloz",26,"Zenit St. Petersburg","RUS - Premier Liga","right",183,"Russia","W","12",24,22,30,30
"Emiliano Rigoni",25,"Zenit St. Petersburg","RUS - Premier Liga","both",180,"Argentina  Italy","W","12",48,,26,20
"Sebastián Driussi",22,"Zenit St. Petersburg","RUS - Premier Liga","both",179,"Argentina  Italy","CF","12",37,,7,15
"Aleksandr Kokorin",26,"Zenit St. Petersburg","RUS - Premier Liga","right",183,"Russia","CF","12",39,26,23,24
"Anton Zabolotnyi",26,"Zenit St. Petersburg","RUS - Premier Liga","right",188,"Russia","CF","12",,5,26,29
"Quincy Promes",26,"Spartak Moscow","RUS - Premier Liga","both",174,"Netherlands  Suriname","W","12",29,42,31,32
"Pedro Rocha",23,"Spartak Moscow","RUS - Premier Liga","right",175,"Brazil","W","12",34,,,20
"Lorenzo Melgarejo",27,"Spartak Moscow","RUS - Premier Liga","left",178,"Paraguay","W","12",15,40,25,28
"Zelimkhan Bakaev",21,"Spartak 2 Moscow","RUS - Premier Liga","left",180,"Russia","W","12",,,,14
"Luiz Adriano",30,"Spartak Moscow","RUS - Premier Liga","right",183,"Brazil","CF","12",33,32,39,29
"Zé Luís",27,"Spartak Moscow","RUS - Premier Liga","left",184,"Cape Verde","CF","12",25,35,29,25
"Ahmed Musa",25,"CSKA Moscow","RUS - Premier Liga","both",170,"Nigeria","CF","12",39,35,37,44
"Fedor Chalov",19,"CSKA Moscow","RUS - Premier Liga","right",180,"Russia","CF","12",,,,6
"Timur Zhamaletdinov",20,"CSKA Moscow","RUS - Premier Liga","right",181,"Russia","CF","12",6,,,7
"Wanderson A",23,"FK Krasnodar","RUS - Premier Liga","right",175,"Brazil  Belgium","W","12",32,6,29,26
"Joãozinho",29,"FK Krasnodar","RUS - Premier Liga","left",166,"Russia  Brazil","W","12",29,31,34,23
"Andrei Ivan",21,"FK Krasnodar","RUS - Premier Liga","right",185,"Romania","W","12",19,,8,34
"Ricardo Laborde",30,"FK Krasnodar","RUS - Premier Liga","right",174,"Colombia","W","12",37,29,12,31
"Magomed-Shapi Suleymanov",18,"FK Krasnodar","RUS - Premier Liga","left",170,"Russia","W","12",,,,NA
"Fedor Smolov",28,"FK Krasnodar","RUS - Premier Liga","right",187,"Russia","CF","12",26,26,29,44
"Ivan Ignatjev",19,"FK Krasnodar","RUS - Premier Liga","right",180,"Russia","CF","12",,,,NA
"Alan Kasaev",31,"Lokomotiv Moscow","RUS - Premier Liga","right",174,"Russia","W","12",31,31,20,31
"Jefferson Farfán",33,"Lokomotiv Moscow","RUS - Premier Liga","right",178,"Peru","W","12",9,35,28,9
"Arshak Koryan",22,"Lokomotiv Moscow","RUS - Premier Liga","right",169,"Russia  Armenia","W","12",8,,0,12
"Éder",30,"Lokomotiv Moscow","RUS - Premier Liga","both",190,"Portugal  Guinea-Bissau","CF","12",38,31,16,29
"Ari",32,"Lokomotiv Moscow","RUS - Premier Liga","both",180,"Brazil","CF","12",38,37,21,36
"Gökdeniz Karadeniz",38,"Rubin Kazan","RUS - Premier Liga","right",168,"Turkey","W","12",24,42,31,28
"Rifat Zhemaletdinov",21,"Rubin Kazan","RUS - Premier Liga","right",184,"Russia","W","12",,,,6
"Sardar Azmoun",23,"Rubin Kazan","RUS - Premier Liga","both",186,"Iran","CF","12",27,0,17,24
"Léo Jabá",19,"Akhmat Grozny","RUS - Premier Liga","right",178,"Brazil","W","12",,,,1
"Bernard Berisha",26,"Akhmat Grozny","RUS - Premier Liga","right",174,"Kosovo  Albania","W","12",41,21,30,43
"Magomed Mitrishev",25,"Akhmat Grozny","RUS - Premier Liga","right",178,"Russia","W","12",14,20,2,24
"Odise Roshi",26,"Akhmat Grozny","RUS - Premier Liga","right",187,"Albania","W","12",22,32,25,25
"Khalid Kadyrov",23,"Akhmat Grozny","RUS - Premier Liga","right",167,"Russia","W","12",5,0,2,5
"Bekim Balaj",27,"Akhmat Grozny","RUS - Premier Liga","right",188,"Albania","CF","12",31,19,37,37
"Ablaye Mbengue",25,"Akhmat Grozny","RUS - Premier Liga","right",187,"Senegal","CF","12",5,,,22
"Zaur Sadaev",28,"Akhmat Grozny","RUS - Premier Liga","right",182,"Russia","CF","12",34,13,22,16
"Apti Akh'yadov",24,"Akhmat Grozny","RUS - Premier Liga","right",173,"Russia","CF","12",0,,0,2
"Fedor Chernykh",26,"Dinamo Moscow","RUS - Premier Liga","both",183,"Lithuania  Russia","W","12",33,35,14,35
"Vyacheslav Grulev",18,"Dinamo Moscow II","RUS - Premier Liga","right",188,"Russia","W","12",,,,NA
"Anton Terekhov",20,"Dinamo Moscow","RUS - Premier Liga","right",186,"Russia","W","12",,,,4
"Evgeni Markov",23,"Dinamo Moscow","RUS - Premier Liga","right",187,"Russia","CF","12",18,,,28
"Evgeni Lutsenko",31,"Dinamo Moscow","RUS - Premier Liga","left",187,"Russia","CF","12",25,32,28,27
"Nikolay Obolskiy",21,"Dinamo Moscow","RUS - Premier Liga","left",186,"Russia","CF","12",0,,,8
"Evans Kangwa",25,"Arsenal Tula","RUS - Premier Liga","right",180,"Zambia","W","12",23,,,33
"Artem Dzyuba",29,"Arsenal Tula","RUS - Premier Liga","right",196,"Russia","CF","12",26,32,31,44
"Luka Djordjevic",23,"Arsenal Tula","RUS - Premier Liga","both",185,"Montenegro","CF","12",12,10,21,28
"Federico Rasic",25,"Arsenal Tula","RUS - Premier Liga","right",194,"Argentina  Croatia","CF","12",21,,12,9
"Aslanbek Sikoev",23,"Arsenal Tula II","RUS - Premier Liga","right",191,"Russia","CF","12",,,0,NA
"Igor Shevchenko",33,"Arsenal Tula","RUS - Premier Liga","right",180,"Russia","CF","12",26,32,31,14
"Sly",27,"FK Ufa","RUS - Premier Liga","right",173,"Nigeria","W","12",33,28,30,26
"Dmitri Sysuev",30,"FK Ufa","RUS - Premier Liga","right",176,"Russia","W","12",12,28,27,20
"Kehinde Fatai",28,"FK Ufa","RUS - Premier Liga","right",185,"Nigeria  Romania","CF","12",32,37,19,46
"Vyacheslav Krotov",25,"FK Ufa","RUS - Premier Liga","right",183,"Russia","CF","12",10,3,1,30
"Yerkebulan Seydakhmet",18,"FK Ufa","RUS - Premier Liga","right",178,"Kazakhstan","CF","12",,,,NA
"Aleksandr Zuev",21,"FK Rostov","RUS - Premier Liga","right",176,"Russia  Kazakhstan","W","12",3,,,38
"Aleksey Ionov",29,"FK Rostov","RUS - Premier Liga","right",177,"Russia","W","12",44,32,24,32
"Björn Sigurdarson",27,"FK Rostov","RUS - Premier Liga","right",187,"Iceland","CF","12",17,41,39,29
"Eldor Shomurodov",22,"FK Rostov","RUS - Premier Liga","right",185,"Uzbekistan","CF","12",4,,,7
"Vladimir Dyadyun",29,"FK Rostov","RUS - Premier Liga","right",183,"Russia","CF","12",25,33,20,21
"Nikolay Dimitrov",30,"Ural Yekaterinburg","RUS - Premier Liga","left",175,"Bulgaria","W","12",42,21,26,26
"Dmytro Khomchenovsky",27,"Ural Yekaterinburg","RUS - Premier Liga","both",182,"Ukraine","W","12",32,15,30,28
"Nikita Glushkov",23,"Ural Yekaterinburg","RUS - Premier Liga","right",175,"Russia","W","12",18,,,NA
"Giorgi Chanturia",24,"Ural Yekaterinburg","RUS - Premier Liga","both",181,"Georgia","W","12",26,16,23,24
"Edgar Manucharyan",31,"Ural Yekaterinburg","RUS - Premier Liga","left",177,"Armenia","W","12",19,11,23,23
"Vladimir Iljin",25,"Ural Yekaterinburg","RUS - Premier Liga","right",187,"Russia","CF","12",30,,16,34
"Igor Portnyagin",29,"Ural Yekaterinburg","RUS - Premier Liga","right",191,"Russia","CF","12",28,27,32,31
"Aaron Olanare",23,"Amkar Perm","RUS - Premier Liga","left",189,"Nigeria","CF","12",18,27,33,10
"Darko Bodul",29,"Amkar Perm","RUS - Premier Liga","right",186,"Austria  Croatia","CF","12",21,28,30,12
"Aleksey Gasilin",22,"Amkar Perm","RUS - Premier Liga","both",185,"Russia","CF","12",7,1,2,33
"Pavel Yakovlev",26,"Anzhi Makhachkala","RUS - Premier Liga","right",180,"Russia","W","12",21,17,25,17
"Ivan Markelov",29,"Anzhi Makhachkala","RUS - Premier Liga","left",185,"Russia","W","12",27,,25,31
"Arsen Khubulov",27,"Anzhi Makhachkala","RUS - Premier Liga","right",181,"Russia","W","12",17,14,20,27
"Pylyp Budkivsky",26,"Anzhi Makhachkala","RUS - Premier Liga","right",196,"Ukraine","CF","12",33,0,16,34
"Juan Lescano",25,"Anzhi Makhachkala","RUS - Premier Liga","right",188,"Argentina","CF","12",24,,28,27
"Aleksandr Prudnikov",29,"Anzhi Makhachkala","RUS - Premier Liga","both",185,"Russia","CF","12",24,7,28,32
"Amur Kalmykov",23,"Anzhi Makhachkala","RUS - Premier Liga","right",194,"Russia","CF","12",,,,NA
"Pavel Dolgov",21,"Anzhi Makhachkala","RUS - Premier Liga","right",187,"Russia","CF","12",7,,6,29
"Ricardinho",28,"FK Tosno","RUS - Premier Liga","both",178,"Brazil","W","12",29,28,39,28
"Nikola Trujic",25,"FK Tosno","RUS - Premier Liga","right",182,"Serbia","W","12",30,28,26,28
"Reziuan Mirzov",24,"FK Tosno","RUS - Premier Liga","right",180,"Russia","W","12",27,1,9,5
"Aleksandr Makarov",21,"FK Tosno","RUS - Premier Liga","right",175,"Russia","W","12",5,,6,18
"Pavel Pogrebnyak",34,"FK Tosno","RUS - Premier Liga","left",188,"Russia","CF","12",33,32,41,19
"Alejandro Barbaro",26,"SKA Khabarovsk","RUS - Premier Liga","both",177,"Argentina  Italy","W","12",2,1,21,18
"Konstantin Savichev",24,"SKA Khabarovsk","RUS - Premier Liga","right",172,"Russia","W","12",,2,,34
"Vladislav Nikiforov",28,"SKA Khabarovsk","RUS - Premier Liga","right",166,"Russia","W","12",28,16,24,39
"Dmitri Kabutov",25,"SKA Khabarovsk","RUS - Premier Liga","right",173,"Russia","W","12",24,31,20,30
"Maksim Kazankov",30,"SKA Khabarovsk","RUS - Premier Liga","right",175,"Russia  Turkmenistan","W","12",,,,33
"Maksim Kanunnikov",26,"SKA Khabarovsk","RUS - Premier Liga","right",184,"Russia","CF","12",28,25,24,40
"Miroslav Markovic",28,"SKA Khabarovsk","RUS - Premier Liga","both",184,"Serbia","CF","12",12,23,24,18
"Lukasz Sekulski",27,"SKA Khabarovsk","RUS - Premier Liga","right",187,"Poland","CF","12",36,35,19,23
"Aleksandr Maksimenko",21,"SKA Khabarovsk II","RUS - Premier Liga","right",169,"Russia","CF","12",,,,NA
"Ousmane Dembélé",20,"FC Barcelona","ESP - LaLiga","both",178,"France  Mauritania","W","12",,,,29
"Lionel Messi",30,"FC Barcelona","ESP - LaLiga","left",170,"Argentina  Spain","W","12",57,50,46,49
"Aleix Vidal",28,"FC Barcelona","ESP - LaLiga","right",177,"Spain","W","12",47,45,42,14
"Luis Suárez",31,"FC Barcelona","ESP - LaLiga","right",182,"Uruguay  Italy","CF","12",43,44,37,53
"Paco Alcácer",24,"FC Barcelona","ESP - LaLiga","right",175,"Spain","CF","12",36,24,37,46
"Cristiano Ronaldo",33,"Real Madrid","ESP - LaLiga","both",187,"Portugal","W","12",54,55,47,48
"Marco Asensio",22,"Real Madrid","ESP - LaLiga","left",182,"Spain  Netherlands","W","12",36,,20,37
"Gareth Bale",28,"Real Madrid","ESP - LaLiga","left",185,"Wales","W","12",48,44,44,31
"Lucas Vázquez",26,"Real Madrid","ESP - LaLiga","right",173,"Spain","W","12",39,26,40,33
"Karim Benzema",30,"Real Madrid","ESP - LaLiga","both",185,"France  Algeria","CF","12",46,50,52,36
"Borja Mayoral",20,"Real Madrid","ESP - LaLiga","right",182,"Spain","CF","12",12,,,46
"Vitolo",28,"Atlético Madrid","ESP - LaLiga","right",184,"Spain","W","12",42,44,45,47
"Ángel Correa",23,"Atlético Madrid","ESP - LaLiga","right",172,"Argentina  Spain","W","12",,12,44,36
"Antoine Griezmann",26,"Atlético Madrid","ESP - LaLiga","left",175,"France","CF","12",53,35,50,54
"Diego Costa",29,"Atlético Madrid","ESP - LaLiga","right",186,"Spain  Brazil","CF","12",37,44,51,41
"Kévin Gameiro",30,"Atlético Madrid","ESP - LaLiga","right",172,"France","CF","12",44,32,49,52
"Fernando Torres",33,"Atlético Madrid","ESP - LaLiga","right",186,"Spain","CF","12",36,64,41,44
"Gonçalo Guedes",21,"Valencia CF","ESP - LaLiga","right",179,"Portugal","W","12",41,0,11,36
"Andreas Pereira",22,"Valencia CF","ESP - LaLiga","right",178,"Brazil  Belgium","W","12",20,1,22,22
"Ferrán Torres",18,"Valencia CF","ESP - LaLiga","right",184,"Spain","W","12",,,,NA
"Simone Zaza",26,"Valencia CF","ESP - LaLiga","left",186,"Italy","CF","12",34,36,35,24
"Rodrigo",27,"Valencia CF","ESP - LaLiga","left",182,"Spain  Brazil","CF","12",32,39,42,38
"Luciano Vietto",24,"Valencia CF","ESP - LaLiga","right",173,"Argentina  Italy","CF","12",48,33,36,28
"Santi Mina",22,"Valencia CF","ESP - LaLiga","right",181,"Spain","CF","12",24,1,32,36
"Joaquín Correa",23,"Sevilla FC","ESP - LaLiga","right",188,"Argentina  Italy","W","12",22,8,32,25
"Nolito",31,"Sevilla FC","ESP - LaLiga","right",175,"Spain","W","12",37,32,37,29
"Pablo Sarabia",25,"Sevilla FC","ESP - LaLiga","left",178,"Spain","W","12",41,16,36,32
"Jesús Navas",32,"Sevilla FC","ESP - LaLiga","right",170,"Spain","W","12",47,44,48,52
"Wissam Ben Yedder",27,"Sevilla FC","ESP - LaLiga","right",170,"France  Tunisia","CF","12",38,37,42,41
"Luis Muriel",26,"Sevilla FC","ESP - LaLiga","right",179,"Colombia","CF","12",27,23,31,35
"Sandro Ramírez",22,"Sevilla FC","ESP - LaLiga","right",175,"Spain","CF","12",42,,31,20
"Roberto Soriano",27,"Villarreal CF","ESP - LaLiga","both",182,"Italy  Germany","W","12",35,25,29,40
"Denis Cheryshev",27,"Villarreal CF","ESP - LaLiga","left",179,"Russia  Spain","W","12",40,35,5,14
"Samu Castillejo",23,"Villarreal CF","ESP - LaLiga","left",182,"Spain","W","12",39,,,45
"Daniel Raba",22,"Villarreal CF","ESP - LaLiga","left",184,"Spain","W","12",,,,1
"Salem Al-Dawsari",26,"Villarreal CF","ESP - LaLiga","right",171,"Saudi Arabia","W","12",29,16,24,24
"Carlos Bacca",31,"Villarreal CF","ESP - LaLiga","right",181,"Colombia","CF","12",56,44,52,43
"Nicola Sansone",26,"Villarreal CF","ESP - LaLiga","right",173,"Italy  Germany","CF","12",37,26,31,38
"Enes Ünal",20,"Villarreal CF","ESP - LaLiga","right",185,"Turkey","CF","12",31,,23,28
"Roger Martínez",23,"Villarreal CF","ESP - LaLiga","right",180,"Colombia","CF","12",26,2,13,32
"Iker Muniain",25,"Athletic Bilbao","ESP - LaLiga","right",169,"Spain","W","12",41,43,39,28
"Iñigo Córdoba",20,"Athletic Bilbao","ESP - LaLiga","left",179,"Spain","W","12",6,,,21
"Sabin Merino",26,"Athletic Bilbao","ESP - LaLiga","right",187,"Spain","W","12",42,,38,38
"Iñaki Williams",23,"Athletic Bilbao","ESP - LaLiga","right",186,"Spain","W","12",43,,14,37
"Markel Susaeta",30,"Athletic Bilbao","ESP - LaLiga","right",179,"Spain","W","12",48,46,43,47
"Aritz Aduriz",37,"Athletic Bilbao","ESP - LaLiga","right",182,"Spain","CF","12",48,44,36,55
"Kike Sola",32,"Athletic Bilbao","ESP - LaLiga","right",184,"Spain","CF","12",6,31,9,13
"Mikel Oyarzabal",20,"Real Sociedad","ESP - LaLiga","left",181,"Spain","W","12",5,,,32
"Adnan Januzaj",23,"Real Sociedad","ESP - LaLiga","left",186,"Belgium  Kosovo","W","12",29,19,38,26
"Juanmi",24,"Real Sociedad","ESP - LaLiga","right",172,"Spain","W","12",38,26,24,21
"David Concha",21,"Real Sociedad","ESP - LaLiga","right",179,"Spain","W","12",35,,15,27
"Willian José",26,"Real Sociedad","ESP - LaLiga","right",189,"Brazil","CF","12",38,26,17,34
"Jon Bautista",22,"Real Sociedad","ESP - LaLiga","right",180,"Spain","CF","12",25,,7,33
"Imanol Agirretxe",31,"Real Sociedad","ESP - LaLiga","right",187,"Spain","CF","12",36,35,40,16
"Pione Sisto",23,"Celta de Vigo","ESP - LaLiga","right",171,"Denmark  Uganda","W","12",24,10,29,42
"Emre Mor",20,"Celta de Vigo","ESP - LaLiga","left",169,"Turkey  Denmark","W","12",0,,,13
"Iago Aspas",30,"Celta de Vigo","ESP - LaLiga","left",176,"Spain","W","12",25,37,15,40
"Maximiliano Gómez",21,"Celta de Vigo","ESP - LaLiga","right",186,"Uruguay","CF","12",4,,,21
"Lucas Boyé",22,"Celta de Vigo","ESP - LaLiga","right",183,"Argentina  Italy","CF","12",33,,6,16
"Cristian Tello",26,"Real Betis Balompié","ESP - LaLiga","both",178,"Spain","W","12",37,34,30,35
"Joel Campbell",25,"Real Betis Balompié","ESP - LaLiga","left",178,"Costa Rica","W","12",33,33,43,31
"Joaquín",36,"Real Betis Balompié","ESP - LaLiga","right",181,"Spain","W","12",34,45,37,32
"Francis Guerrero",22,"Real Betis Balompié","ESP - LaLiga","right",175,"Spain","W","12",5,,,29
"Antonio Sanabria",22,"Real Betis Balompié","ESP - LaLiga","right",181,"Paraguay","CF","12",15,,15,30
"Sergio León",29,"Real Betis Balompié","ESP - LaLiga","right",176,"Spain","CF","12",35,6,30,42
"Rubén Castro",36,"Real Betis Balompié","ESP - LaLiga","right",168,"Spain","CF","12",46,40,34,40
"Loren Morón",24,"Real Betis Balompié","ESP - LaLiga","",185,"Spain","CF","12",11,,,30
