line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Dmitri Poloz,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,W,12,22,3,1057,1,
Emiliano Rigoni,25,Zenit St. Petersburg,RUS - Premier Liga,both,180,Argentina  Italy,W,12,,,,,
Sebastián Driussi,22,Zenit St. Petersburg,RUS - Premier Liga,both,179,Argentina  Italy,CF,12,,,,,
Aleksandr Kokorin,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,CF,12,26,13,2287,5,
Anton Zabolotnyi,26,Zenit St. Petersburg,RUS - Premier Liga,right,188,Russia,CF,12,5,1,171,0,
Quincy Promes,26,Spartak Moscow,RUS - Premier Liga,both,174,Netherlands  Suriname,W,12,42,17,3678,11,
Pedro Rocha,23,Spartak Moscow,RUS - Premier Liga,right,175,Brazil,W,12,,,,,
Lorenzo Melgarejo,27,Spartak Moscow,RUS - Premier Liga,left,178,Paraguay,W,12,40,2,3588,5,
Zelimkhan Bakaev,21,Spartak 2 Moscow,RUS - Premier Liga,left,180,Russia,W,12,,,,,
Luiz Adriano,30,Spartak Moscow,RUS - Premier Liga,right,183,Brazil,CF,12,32,15,2455,9,
Zé Luís,27,Spartak Moscow,RUS - Premier Liga,left,184,Cape Verde,CF,12,35,8,1603,1,
Ahmed Musa,25,CSKA Moscow,RUS - Premier Liga,both,170,Nigeria,CF,12,35,15,3029,7,
Fedor Chalov,19,CSKA Moscow,RUS - Premier Liga,right,180,Russia,CF,12,,,,,
Timur Zhamaletdinov,20,CSKA Moscow,RUS - Premier Liga,right,181,Russia,CF,12,,,,,
Wanderson A,23,FK Krasnodar,RUS - Premier Liga,right,175,Brazil  Belgium,W,12,6,0,199,1,
Joãozinho,29,FK Krasnodar,RUS - Premier Liga,left,166,Russia  Brazil,W,12,31,4,2740,16,
Andrei Ivan,21,FK Krasnodar,RUS - Premier Liga,right,185,Romania,W,12,,,,,
Ricardo Laborde,30,FK Krasnodar,RUS - Premier Liga,right,174,Colombia,W,12,29,7,2275,9,
Magomed-Shapi Suleymanov,18,FK Krasnodar,RUS - Premier Liga,left,170,Russia,W,12,,,,,
Fedor Smolov,28,FK Krasnodar,RUS - Premier Liga,right,187,Russia,CF,12,26,1,1023,0,
Ivan Ignatjev,19,FK Krasnodar,RUS - Premier Liga,right,180,Russia,CF,12,,,,,
Alan Kasaev,31,Lokomotiv Moscow,RUS - Premier Liga,right,174,Russia,W,12,31,3,1564,5,
Jefferson Farfán,33,Lokomotiv Moscow,RUS - Premier Liga,right,178,Peru,W,12,35,7,2828,10,
Arshak Koryan,22,Lokomotiv Moscow,RUS - Premier Liga,right,169,Russia  Armenia,W,12,,,,,
Éder,30,Lokomotiv Moscow,RUS - Premier Liga,both,190,Portugal  Guinea-Bissau,CF,12,31,16,2413,5,
Ari,32,Lokomotiv Moscow,RUS - Premier Liga,both,180,Brazil,CF,12,37,6,2621,8,
Gökdeniz Karadeniz,38,Rubin Kazan,RUS - Premier Liga,right,168,Turkey,W,12,42,7,3319,9,
Rifat Zhemaletdinov,21,Rubin Kazan,RUS - Premier Liga,right,184,Russia,W,12,,,,,
Sardar Azmoun,23,Rubin Kazan,RUS - Premier Liga,both,186,Iran,CF,12,0,0,0,0,
Léo Jabá,19,Akhmat Grozny,RUS - Premier Liga,right,178,Brazil,W,12,,,,,
Bernard Berisha,26,Akhmat Grozny,RUS - Premier Liga,right,174,Kosovo  Albania,W,12,21,3,1791,2,
Magomed Mitrishev,25,Akhmat Grozny,RUS - Premier Liga,right,178,Russia,W,12,20,2,470,0,
Odise Roshi,26,Akhmat Grozny,RUS - Premier Liga,right,187,Albania,W,12,32,2,891,1,
Khalid Kadyrov,23,Akhmat Grozny,RUS - Premier Liga,right,167,Russia,W,12,0,0,0,0,
Bekim Balaj,27,Akhmat Grozny,RUS - Premier Liga,right,188,Albania,CF,12,19,4,1074,2,
Ablaye Mbengue,25,Akhmat Grozny,RUS - Premier Liga,right,187,Senegal,CF,12,,,,,
Zaur Sadaev,28,Akhmat Grozny,RUS - Premier Liga,right,182,Russia,CF,12,13,1,369,0,
Apti Akh'yadov,24,Akhmat Grozny,RUS - Premier Liga,right,173,Russia,CF,12,,,,,
Fedor Chernykh,26,Dinamo Moscow,RUS - Premier Liga,both,183,Lithuania  Russia,W,12,35,4,3100,5,
Vyacheslav Grulev,18,Dinamo Moscow II,RUS - Premier Liga,right,188,Russia,W,12,,,,,
Anton Terekhov,20,Dinamo Moscow,RUS - Premier Liga,right,186,Russia,W,12,,,,,
Evgeni Markov,23,Dinamo Moscow,RUS - Premier Liga,right,187,Russia,CF,12,,,,,
Evgeni Lutsenko,31,Dinamo Moscow,RUS - Premier Liga,left,187,Russia,CF,12,32,9,2624,4,
Nikolay Obolskiy,21,Dinamo Moscow,RUS - Premier Liga,left,186,Russia,CF,12,,,,,
Evans Kangwa,25,Arsenal Tula,RUS - Premier Liga,right,180,Zambia,W,12,,,,,
Artem Dzyuba,29,Arsenal Tula,RUS - Premier Liga,right,196,Russia,CF,12,32,4,1773,7,
Luka Djordjevic,23,Arsenal Tula,RUS - Premier Liga,both,185,Montenegro,CF,12,10,0,260,0,
Federico Rasic,25,Arsenal Tula,RUS - Premier Liga,right,194,Argentina  Croatia,CF,12,,,,,
Aslanbek Sikoev,23,Arsenal Tula II,RUS - Premier Liga,right,191,Russia,CF,12,,,,,
Igor Shevchenko,33,Arsenal Tula,RUS - Premier Liga,right,180,Russia,CF,12,32,4,1986,1,
Sly,27,FK Ufa,RUS - Premier Liga,right,173,Nigeria,W,12,28,9,2162,3,
Dmitri Sysuev,30,FK Ufa,RUS - Premier Liga,right,176,Russia,W,12,28,9,2300,7,
Kehinde Fatai,28,FK Ufa,RUS - Premier Liga,right,185,Nigeria  Romania,CF,12,37,16,2745,6,
Vyacheslav Krotov,25,FK Ufa,RUS - Premier Liga,right,183,Russia,CF,12,3,1,193,0,
Yerkebulan Seydakhmet,18,FK Ufa,RUS - Premier Liga,right,178,Kazakhstan,CF,12,,,,,
Aleksandr Zuev,21,FK Rostov,RUS - Premier Liga,right,176,Russia  Kazakhstan,W,12,,,,,
Aleksey Ionov,29,FK Rostov,RUS - Premier Liga,right,177,Russia,W,12,32,2,2607,12,
Björn Sigurdarson,27,FK Rostov,RUS - Premier Liga,right,187,Iceland,CF,12,41,6,2535,2,
Eldor Shomurodov,22,FK Rostov,RUS - Premier Liga,right,185,Uzbekistan,CF,12,,,,,
Vladimir Dyadyun,29,FK Rostov,RUS - Premier Liga,right,183,Russia,CF,12,33,10,1532,2,
Nikolay Dimitrov,30,Ural Yekaterinburg,RUS - Premier Liga,left,175,Bulgaria,W,12,21,7,1625,4,
Dmytro Khomchenovsky,27,Ural Yekaterinburg,RUS - Premier Liga,both,182,Ukraine,W,12,15,2,1131,2,
